


72,,Midnight Club: Street Racing,,Rockstar Games,Angel Studios,N/A,N/A,N/A,N/A,2.63m,0.47m,0.02m,0.14m,25th Oct 00,N/A
73,,Crazy Taxi,,Acclaim Entertainment,Hitmaker,N/A,8.2,N/A,N/A,2.52m,1.12m,0.06m,0.22m,14th May 01,N/A
74,,Midnight Club: Los Angeles,,Rockstar Games,Rockstar San Diego,N/A,8.3,N/A,N/A,2.50m,0.54m,0.05m,0.33m,20th Oct 08,N/A
75,,Forza Horizon 3    Read the review,,Microsoft Studios,Playground Games,N/A,9.0,N/A,2.50m,N/A,N/A,N/A,N/A,27th Sep 16,13th Jan 18
76,,Pure,,Disney Interactive Studios,Black Rock Studio,N/A,8.3,N/A,N/A,2.47m,0.84m,0.00m,0.25m,16th Sep 08,N/A
77,,Twisted Metal 2,,Sony Computer Entertainment,SingleTrac,N/A,8.7,N/A,N/A,2.44m,0.25m,N/A,0.07m,31st Oct 96,N/A
78,,Sonic & Sega All-Stars Racing,,Sega,Sumo Digital,N/A,N/A,N/A,2.43m,N/A,N/A,N/A,N/A,23rd Feb 10,13th Nov 20
79,,Need for Speed Carbon: Own the City,,Electronic Arts,EA Black Box,N/A,7.4,N/A,N/A,2.42m,0.97m,N/A,0.58m,31st Oct 06,N/A
80,,ATV Offroad Fury,,Sony Computer Entertainment,Rainbow Studios,N/A,8.4,N/A,N/A,2.41m,0.26m,N/A,0.08m,05th Feb 01,N/A
81,,Need for Speed: ProStreet,,Electronic Arts,EA Black Box,N/A,N/A,N/A,N/A,2.41m,0.00m,0.04m,1.68m,13th Nov 07,N/A
82,,Forza Motorsport 5,,Microsoft Studios,Turn 10 Studios,N/A,N/A,N/A,N/A,2.40m,0.90m,0.01m,0.21m,22nd Nov 13,15th Jan 18
83,,Midnight Club: Los Angeles,,Rockstar Games,Rockstar San Diego,N/A,8.0,N/A,N/A,2.40m,0.45m,0.01m,0.22m,20th Oct 08,N/A
84,,Need for Speed: High Stakes,,Electronic Arts,EA Canada,N/A,N/A,N/A,N/A,2.31m,0.64m,N/A,0.09m,01st Mar 99,N/A
85,,Need for Speed Underground 2,,Electronic Arts,EA Black Box,N/A,N/A,N/A,N/A,2.28m,0.80m,N/A,0.10m,15th Nov 04,N/A
86,,Project CARS,,Bandai Namco Entertainment,Slightly Mad Studios,N/A,N/A,N/A,2.26m,N/A,N/A,N/A,N/A,06th May 15,17th Mar 20
87,,Need for Speed: Hot Pursuit,,Electronic Arts,Criterion Games,N/A,8.8,N/A,N/A,2.20m,0.96m,0.00m,0.21m,16th Nov 10,N/A
88,,Need for Speed: Payback,,Electronic Arts,Ghost Games,N/A,5.8,N/A,N/A,2.18m,1.18m,0.04m,0.34m,10th Nov 17,04th Apr 18
89,,ATV Offroad Fury 2,,Sony Computer Entertainment,Rainbow Studios,N/A,8.7,N/A,N/A,2.18m,0.20m,N/A,0.06m,09th Nov 02,N/A
90,,Need for Speed Rivals    Read the review,,Electronic Arts,Ghost Games,6.5,N/A,N/A,N/A,2.17m,1.04m,0.03m,0.35m,15th Nov 13,16th Jan 18
91,,R.C. Pro-Am,,Nintendo,Rare Ltd.,N/A,N/A,N/A,2.14m,N/A,N/A,N/A,N/A,01st Feb 88,N/A
92,,Need for Speed: Hot Pursuit 2,,Electronic Arts,EA Seattle,N/A,8.7,N/A,N/A,2.11m,0.31m,0.02m,0.09m,01st Oct 02,N/A
93,,Need for Speed: Most Wanted 5-1-0,,Electronic Arts,EA Black Box,N/A,7.4,N/A,N/A,2.09m,0.13m,0.02m,0.17m,15th Nov 05,N/A
94,,R4: Ridge Racer Type 4,,Namco,Namco,N/A,9.1,N/A,N/A,2.06m,0.46m,0.79m,0.13m,04th May 99,N/A
95,,Need for Speed: Undercover    Read the review,,Electronic Arts,EA Vancouver,6.0,5.9,N/A,N/A,2.06m,1.01m,0.05m,0.38m,17th Nov 08,N/A
96,,Need for Speed: ProStreet,,Electronic Arts,EA Black Box,N/A,7.1,N/A,N/A,2.05m,0.79m,0.01m,0.21m,15th Nov 07,N/A
97,,Need for Speed: ProStreet,,Electronic Arts,EA Black Box,N/A,7.2,N/A,N/A,2.04m,0.91m,0.04m,0.36m,13th Nov 07,N/A
98,,PGR4 - Project Gotham Racing 4,,Microsoft Game Studios,Bizarre Creations,N/A,8.6,N/A,N/A,2.04m,1.28m,0.02m,0.25m,02nd Oct 07,N/A
99,,Need for Speed: The Run,,Electronic Arts,EA Black Box,N/A,6.3,N/A,N/A,2.01m,1.05m,0.03m,0.35m,15th Nov 11,N/A
100,,Carmageddon,,Interplay Productions,Stainless Games,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,30th Jun 97,23rd Jan 21
101,,Carmageddon,,Interplay Productions,Stainless Games,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,30th Jun 97,28th Feb 20
102,,Driveclub    Read the review,,Sony Computer Entertainment,Evolution Studios,5.8,7.2,N/A,2.00m,N/A,N/A,N/A,N/A,07th Oct 14,25th Sep 18
103,,Hot Wheels Unleashed,,Milestone,Milestone,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,30th Sep 21,22nd Dec 21
104,,Project CARS,,Bandai Namco Entertainment,Slightly Mad Studios,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,06th May 15,22nd Jan 21
105,,The Crew,,Ubisoft,Ivory Tower,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,02nd Dec 14,24th Apr 21
106,,Trials HD    Read the review,,Microsoft,"RedLynx, Ltd.",8.5,8.6,N/A,2.00m,N/A,N/A,N/A,N/A,12th Aug 09,N/A
107,,Rad Racer,,Nintendo,SquareSoft,N/A,N/A,N/A,1.96m,N/A,N/A,N/A,N/A,01st Jan 87,N/A
108,,Crash Nitro Kart,,VU Games,Vicarious Visions,N/A,N/A,N/A,N/A,1.95m,1.01m,N/A,0.20m,13th Nov 03,N/A
109,,Burnout Paradise,,Electronic Arts,Criterion Games,N/A,9.0,N/A,N/A,1.95m,0.63m,0.02m,0.28m,22nd Jan 08,N/A
