


47,,fault - milestone two side:above,,Sekai Project,ALICE IN DISSONANCE,N/A,N/A,N/A,0.05m,N/A,N/A,N/A,N/A,08th Sep 15,04th Apr 19
48,,XBlaze Lost: Memories,,Aksys Games,Arc System Works,N/A,N/A,N/A,N/A,0.05m,N/A,N/A,0.01m,11th Aug 15,28th Jan 19
49,,Amnesia: Crowd,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,18th Apr 13,01st Apr 19
50,,Diabolik Lovers,,Idea Factory,Rejet,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,11th Oct 12,01st Apr 19
51,,Amnesia Later,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,15th Mar 12,02nd Apr 19
52,,Hakuouki SSL: Sweet School Life,,Idea Factory,Design Factory,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,27th Mar 14,02nd Apr 19
53,,Aokana: Four Rhythm Across the Blue,,Sprite,Sprite,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,25th Feb 16,07th Apr 18
54,,Kenka Bancho Otome,,Spike Chunsoft,RED Entertainment,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,19th May 16,22nd Sep 18
55,,White Album 2: Shiawase no Mukougawa,,Aqua Plus,Aqua Plus,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,20th Dec 12,25th Apr 19
56,,Ore no Imouto ga Konna ni Kawaii wake ga Nai. Happy End,,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,26th Sep 13,25th Apr 19
57,,Shin Hayarigami,,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,07th Aug 14,25th Apr 19
58,,Ebikore+ Amagami,,Kadokawa Games,Enterbrain,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,30th Jan 14,25th Apr 19
59,,Diabolik Lovers: Dark Fate,,Idea Factory,Rejet,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,26th Feb 15,25th Apr 19
60,,Hanaoni: Yume no Tsudzuki,,Idea Factory,Design Factory,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,22nd Mar 12,25th Apr 19
61,,Date A Live: Rine Utopia,,Compile Heart,Compile Heart,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,27th Jun 13,25th Apr 19
62,,Utawarerumono: Mask of Truth,,Aqua Plus,Aqua Plus,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,21st Sep 16,03rd Jun 18
63,,Hakuoki Zuisouroku Omokage Hana,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,19th Feb 15,26th Apr 19
64,,Ao no Exorcist: Genkoku no Labyrinth,,Namco Bandai Games,Bandai Namco Games,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,26th Apr 12,26th Apr 19
65,,Bond of Ten Demons,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,19th Jul 12,26th Apr 19
66,,Norn9: Norn + Nonette,,Idea Factory,Regista,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,30th May 13,26th Apr 19
67,,Psycho-Pass: Mandatory Happiness,,NIS America,5pb. Inc.,N/A,N/A,N/A,N/A,0.04m,0.01m,0.02m,0.00m,13th Sep 16,03rd Jul 18
68,,The Three Kingdoms Love Story ~ The Art of Otome!,,Prototype,Prototype,N/A,N/A,N/A,N/A,0.04m,N/A,0.04m,N/A,26th Jul 12,26th Apr 19
69,,XBLAZE Code: Embryo,,Aksys Games,Arc System Works,N/A,N/A,N/A,N/A,0.04m,N/A,0.01m,0.01m,24th Jun 14,26th Apr 19
70,,Even in a Game Listen to Me Girls. I Am Your Father!,,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,26th Apr 12,26th Apr 19
71,,Diabolik Lovers: More Blood,,Idea Factory,Rejet,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,24th Oct 13,26th Apr 19
72,,Infinite Stratos 2: Ignition Hearts,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,27th Feb 14,26th Apr 19
73,,Toaru Majutsu to Kagaku no Ensemble,,Namco Bandai Games,Bandai Namco Games,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,21st Feb 13,27th Apr 19
74,,Brothers Conflict: Brilliant Blue,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,12th Sep 13,27th Apr 19
75,,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",,Rejet,Rejet,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,25th Feb 16,27th Apr 19
76,,Zero Escape: Virtue's Last Reward,,Aksys Games,Spike Chunsoft,N/A,9.0,N/A,N/A,0.03m,N/A,N/A,0.00m,23rd Oct 12,23rd Jan 19
77,,Ren'ai 0 Kilometer,,Alchemist,ASa Project,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,31st Jan 13,27th Apr 19
78,,Jyuzaengi: Engetsu Sangokuden,,Idea Factory,RED Entertainment,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,24th May 12,27th Apr 19
79,,Nisekoi: Yomeiri!?,,Konami Digital Entertainment,Konami,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,01st Jan 15,27th Apr 19
80,,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,,ChunSoft,"Chunsoft Co., Ltd.",N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,16th Feb 12,27th Apr 19
81,,Code: Realize - Bouquet of Rainbows,,Aksys Games,Idea Factory,N/A,N/A,N/A,N/A,0.03m,N/A,N/A,0.01m,30th Mar 18,02nd Mar 18
82,,Angelique Luminarise,,Koei Tecmo,Ruby Party,N/A,N/A,N/A,0.03m,N/A,N/A,N/A,N/A,20th May 21,27th Jul 21
83,,Haruka: Beyond the Stream of Time 7,,Unknown,Koei Tecmo Games,N/A,N/A,N/A,0.03m,N/A,N/A,N/A,N/A,N/A,07th Feb 21
84,,Kiniro no Corda 4,,Unknown,Koei Tecmo Games,N/A,N/A,N/A,0.03m,N/A,N/A,N/A,N/A,N/A,16th Oct 20
85,,Muv-Luv Alternative: Total Eclipse,,5pb,MAGES. Inc.,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,16th May 13,27th Apr 19
86,,Oumagatoki: Kaidan Romance,,Quinrose,QuinRose,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,29th Mar 12,27th Apr 19
87,,Kamigami no Asobi: Ludere Deorum,,Broccoli,Nippon Ichi Software,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,24th Oct 13,29th Apr 19
88,,Harukanaru Toki no Naka de 5: Kazahanaki,,Tecmo Koei,Tecmo Koei Games,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,23rd Feb 12,30th Apr 19
89,,Amnesia World,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,22nd May 14,30th Apr 19
90,,Tiger & Bunny On Air Jack!,,Namco Bandai Games,Bandai Namco,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,20th Sep 12,01st May 19
91,,Infinite Stratos 2: Ignition Hearts,,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,27th Feb 14,01st May 19
92,,Brothers Conflict: Passion Pink,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,17th May 12,01st May 19
93,,Aokana: Four Rhythm Across the Blue,,Sprite,Sprite,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,21st Aug 20,07th Apr 18
94,,Touch Shot! Love Application,,Compile Heart,Tamsoft,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,23rd Feb 12,01st May 19
95,,Root Letter,,PQube,Kadokawa Games,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,10th Nov 16,20th Sep 18
96,,Steins;Gate Elite,,Spike Chunsoft,5pb. Inc.,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,19th Feb 19,06th Nov 18
97,,Tokushu Houdoubu,,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,23rd Aug 12,01st May 19
98,,Little Busters! Converted Edition,,Prototype,Prototype,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,22nd Mar 12,01st May 19
99,,Jyuzaengi Engetsu Sangokuden 2,,Idea Factory,RED Entertainment,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,17th Apr 14,01st May 19
100,,D.C. III: Da Capo III,,Kadokawa Games,Circus,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,28th Feb 13,01st May 19
101,,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,22nd Nov 12,01st May 19
102,,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,,ChunSoft,ChunSoft,N/A,N/A,N/A,N/A,0.03m,N/A,0.03m,N/A,16th Feb 12,02nd May 19
103,,Otoko Yukaku,,D3Publisher,D3 Publisher,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,19th Feb 15,02nd May 19
104,,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,,5pb,MAGES. Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,19th Sep 13,02nd May 19
105,,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,,Alchemist,Alchemist,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,15th Dec 11,02nd May 19
106,,Anohana: The Flower We Saw That Day,,5pb,Guyzware,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,30th Aug 12,02nd May 19
107,,Taishou x Alice: All in One,,Prototype,Prototype,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,02nd Jun 16,22nd Mar 19
108,,Prince of Stride,,Kadokawa Games,Kadokawa Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,30th Jul 15,02nd May 19
109,,Urakata Hakuoki,,Idea Factory,Design Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,27th Jun 13,02nd May 19
110,,Steins;Gate: Senkei Kousoku no Phonogram,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,25th Apr 13,03rd Jan 19
111,,Dunamis 15,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,15th Sep 11,19th Dec 18
112,,HatsuKare * Renai Debut Sengen!,,FuRyu Corporation,Vridge Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,04th Apr 13,02nd May 19
113,,Geten no Hana,,Tecmo Koei,Koei Tecmo Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Mar 13,03rd May 19
114,,Moujuutsukai to Oujisama: Snow Bride Portable,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,23rd Feb 12,03rd May 19
115,,Collar x Malice: Unlimited,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,26th Jul 18,25th Aug 18
116,,The Three Kingdoms Love Story ~ The Art of Otome!,,Prototype,Prototype,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,04th Feb 16,26th Apr 19
117,,Date A Live: Arusu Install,,Compile Heart,Compile Heart,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,26th Jun 14,03rd May 19
118,,Steins;Gate Elite,,Spike Chunsoft,5pb. Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,19th Feb 19,06th Nov 18
119,,428: Shibuya Scramble,,Spike Chunsoft,Abstraction Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.01m,0.00m,04th Sep 18,26th Sep 18
120,,Dance with Devils,,Rejet,Rejet,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,24th Mar 16,03rd May 19
121,,Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,,System Soft Alpha,System Soft Alpha,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,29th Mar 12,03rd May 19
122,,Genroh,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,30th Aug 12,04th May 19
123,,Kannou Mukashibanashi Portable,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,20th Jan 12,04th May 19
124,,Dies Irae: Amantes Amentes,,Views,Light,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Jun 12,04th May 19
125,,Shinken de Watashi ni Koi Shinasai! R,,Minato Station,Minato Station,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,22nd Mar 12,04th May 19
126,,Shiratsuyu no Kai,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,01st Aug 13,04th May 19
127,,Jake Hunter: Round of Revenge,,Arc System Works,WorkJam,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Jun 12,04th May 19
128,,Robotics;Notes,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Jun 12,21st Nov 18
129,,Toki no Kizuna: Hanayui Tsuzuri,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,25th Jul 13,04th May 19
130,,Arcana Famiglia: Vascello Phantasma no Majutsushi,,Comfort,HuneX,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,21st Jun 12,07th May 19
131,,Vitamin R,,D3Publisher,Rejet,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,08th Aug 13,07th May 19
132,,Ro-Kyu-Bu! Lost Secret,,Kadokawa Shoten,ASCII Media Works,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,20th Jun 13,07th May 19
133,,Kokoro Connect: Yochi Random,,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,22nd Nov 12,07th May 19
134,,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,,5pb,MAGES,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,16th Mar 17,22nd Mar 19
135,,Steins;Gate: Darling of Loving Vows,,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,24th May 12,03rd Jan 19
136,,Higurashi no Naku Koro ni Hou,,Entergram,07th Expansion,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,26th Jul 18,03rd Feb 19
137,,Meiji Tokyo Renka,,Broccoli,HuneX,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,26th Sep 13,07th May 19
138,,Soukoku no Kusabi: Hiiro no Kakera 3 Ashita he no Tobira,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,31st May 12,17th May 19
139,,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,,5pb,MAGES,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,16th Mar 17,20th Sep 18
140,,Psycho-Pass: Mandatory Happiness,,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,01st Jan 15,11th Sep 18
141,,Robotics;Notes,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,26th Jun 14,21st Nov 18
142,,Fuuraiki 3,,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,19th Feb 15,17th May 19
143,,Starry * Sky: After Summer Portable,,Asgard,honeybee,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,28th Mar 13,17th May 19
144,,XBlaze Lost: Memories,,Aksys Games,Arc System Works,N/A,N/A,N/A,N/A,0.02m,N/A,N/A,0.00m,11th Aug 15,28th Jan 19
145,,Kimikare: New Semester,,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,19th Jul 12,17th May 19
146,,Chaos;Child,,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,25th Jun 15,24th Mar 19
147,,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,11th Jul 13,17th May 19
148,,Elkrone no Atelier: Dear for Otomate,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,12th Apr 12,17th May 19
149,,Chaos;Child,,PQube,5pb. Inc.,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,24th Oct 17,24th Mar 19
150,,Memories Off: Yubikiri no Kikou,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,26th May 11,19th Dec 18
151,,L.G.S: Shinsetsu Houshinengi,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,09th Aug 12,18th May 19
152,,Dunamis 15,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,15th Sep 11,19th Dec 18
153,,Reine des Fleurs,,Idea Factory,Otomate,N/A,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,20th Aug 15,22nd Mar 19
