


53,,Super Mario World: Super Mario Advance 2,,Nintendo,Nintendo EAD,N/A,9.4,N/A,5.69m,N/A,N/A,N/A,N/A,09th Feb 02,N/A
54,,Super Mario Advance,,Nintendo,Nintendo EAD,N/A,8.2,N/A,5.57m,N/A,N/A,N/A,N/A,10th Jun 01,N/A
55,,Donkey Kong Country: Tropical Freeze,,Nintendo,Retro Studios,N/A,N/A,N/A,5.44m,N/A,N/A,N/A,N/A,21st Feb 14,21st Jul 21
56,,Super Mario Advance 4: Super Mario Bros. 3,,Nintendo,Nintendo EAD,N/A,9.2,N/A,5.43m,N/A,N/A,N/A,N/A,21st Oct 03,N/A
57,,Crash Bandicoot: The Wrath of Cortex,,Universal Interactive,Traveller's Tales,N/A,6.9,N/A,N/A,5.42m,2.29m,0.24m,0.82m,29th Oct 01,N/A
58,,Donkey Kong 64,,Nintendo,Rare Ltd.,N/A,9.3,N/A,5.27m,N/A,N/A,N/A,N/A,22nd Nov 99,N/A
59,,Super Mario Land 3: Wario Land,,Nintendo,Nintendo R&D1,N/A,7.9,N/A,5.19m,N/A,N/A,N/A,N/A,09th Feb 94,N/A
60,,Donkey Kong Country 2: Diddy's Kong Quest,,Nintendo,Rare Ltd.,N/A,9.3,N/A,5.15m,N/A,N/A,N/A,N/A,20th Nov 95,N/A
61,,Kirby's Dream Land,,Nintendo,HAL Laboratory,N/A,N/A,N/A,5.13m,N/A,N/A,N/A,N/A,01st Aug 92,N/A
62,,Super Mario Bros. Deluxe,,Nintendo,Nintendo EAD,N/A,9.7,N/A,5.07m,N/A,N/A,N/A,N/A,30th Apr 99,N/A
63,,Spyro the Dragon,,Sony Computer Entertainment,Insomniac Games,N/A,8.7,N/A,4.83m,N/A,N/A,N/A,N/A,10th Sep 98,N/A
64,,Crash Bandicoot N. Sane Trilogy,,Activision,Vicarious Visions,N/A,N/A,N/A,N/A,4.83m,2.92m,0.07m,0.74m,30th Jun 17,23rd Sep 18
